Date,Close,Open,High,Low
2011-03-23,1297.54,1292.19,1300.51,1284.05
2011-03-24,1309.66,1300.61,1311.34,1297.74
2011-03-25,1313.8,1311.8,1319.18,1310.15
2011-03-28,1310.19,1315.45,1319.74,1310.19
2011-03-29,1319.44,1309.37,1319.45,1305.26
2011-03-30,1328.26,1321.89,1331.74,1321.89
2011-03-31,1325.83,1327.44,1329.77,1325.03
2011-04-01,1332.41,1329.48,1337.85,1328.89
2011-04-04,1332.87,1333.56,1336.74,1329.1
2011-04-05,1332.63,1332.03,1338.21,1330.03
2011-04-06,1335.54,1335.94,1339.38,1331.09
2011-04-07,1333.51,1334.82,1338.8,1326.56
2011-04-08,1328.17,1336.16,1339.46,1322.94
2011-04-11,1324.46,1329.01,1333.77,1321.06
2011-04-12,1314.16,1321.96,1321.96,1309.51
2011-04-13,1314.41,1314.03,1321.35,1309.19
2011-04-14,1314.52,1311.13,1316.79,1302.42
2011-04-15,1319.68,1314.54,1322.88,1313.68
2011-04-18,1305.14,1313.35,1313.35,1294.7
2011-04-19,1312.62,1305.99,1312.7,1303.97
2011-04-20,1330.36,1319.12,1332.66,1319.12
2011-04-21,1337.38,1333.23,1337.49,1332.83
2011-04-25,1335.25,1337.14,1337.55,1331.47
2011-04-26,1347.24,1336.75,1349.55,1336.75
2011-04-27,1355.66,1348.43,1357.49,1344.25
2011-04-28,1360.48,1353.86,1361.71,1353.6
2011-04-29,1363.61,1360.14,1364.56,1358.69
2011-05-02,1361.22,1365.21,1370.58,1358.59
2011-05-03,1356.62,1359.76,1360.84,1349.52
2011-05-04,1347.32,1355.9,1355.9,1341.5
2011-05-05,1335.1,1344.16,1348,1329.17
2011-05-06,1340.2,1340.24,1354.36,1335.58
2011-05-09,1346.29,1340.2,1349.44,1338.64
2011-05-10,1357.16,1348.34,1359.44,1348.34
2011-05-11,1342.08,1354.51,1354.51,1336.36
2011-05-12,1348.65,1339.39,1351.05,1332.03
2011-05-13,1337.77,1348.69,1350.47,1333.36
2011-05-16,1329.47,1334.77,1343.33,1327.32
2011-05-17,1328.98,1326.1,1330.42,1318.51
2011-05-18,1340.68,1328.54,1341.82,1326.59
2011-05-19,1343.6,1342.4,1346.82,1336.36
2011-05-20,1333.27,1342,1342,1330.67
2011-05-23,1317.37,1333.07,1333.07,1312.88
2011-05-24,1316.28,1317.7,1323.72,1313.87
2011-05-25,1320.47,1316.36,1325.86,1311.8
2011-05-26,1325.69,1320.64,1328.51,1314.41
2011-05-27,1331.1,1325.69,1334.62,1325.69
2011-05-31,1345.2,1331.1,1345.2,1331.1
2011-06-01,1314.55,1345.2,1345.2,1313.71
2011-06-02,1312.94,1314.55,1318.03,1305.61
2011-06-03,1300.16,1312.94,1312.94,1297.9
2011-06-06,1286.17,1300.26,1300.26,1284.72
2011-06-07,1284.94,1286.31,1296.22,1284.74
2011-06-08,1279.56,1284.63,1287.04,1277.42
2011-06-09,1289,1279.63,1294.54,1279.63
2011-06-10,1270.98,1288.6,1288.6,1268.28
2011-06-13,1271.83,1271.31,1277.04,1265.64
2011-06-14,1287.87,1272.22,1292.5,1272.22
2011-06-15,1265.42,1287.87,1287.87,1261.9
2011-06-16,1267.64,1265.53,1274.11,1258.07
2011-06-17,1271.5,1268.58,1279.82,1267.4
2011-06-20,1278.36,1271.5,1280.42,1267.56
2011-06-21,1295.52,1278.4,1297.62,1278.4
2011-06-22,1287.14,1295.48,1298.61,1286.79
2011-06-23,1283.5,1286.6,1286.6,1262.87
2011-06-24,1268.45,1283.04,1283.93,1267.24
2011-06-27,1280.1,1268.44,1284.91,1267.53
2011-06-28,1296.67,1280.21,1296.8,1280.21
2011-06-29,1307.41,1296.85,1309.21,1296.85
2011-06-30,1320.64,1307.64,1321.97,1307.64
2011-07-01,1339.67,1320.64,1341.01,1318.18
2011-07-05,1337.88,1339.59,1340.89,1334.3
2011-07-06,1339.22,1337.56,1340.94,1330.92
2011-07-07,1353.22,1339.62,1356.48,1339.62
2011-07-08,1343.8,1352.39,1352.39,1333.71
2011-07-11,1319.49,1343.31,1343.31,1316.42
2011-07-12,1313.64,1319.61,1327.17,1313.33
2011-07-13,1317.72,1314.45,1331.48,1314.45
2011-07-14,1308.87,1317.74,1326.88,1306.51
2011-07-15,1316.14,1308.87,1317.7,1307.52
2011-07-18,1305.44,1315.94,1315.94,1295.92
2011-07-19,1326.73,1307.07,1328.14,1307.07
2011-07-20,1325.84,1328.66,1330.43,1323.65
2011-07-21,1343.8,1325.65,1347,1325.65
2011-07-22,1345.02,1343.8,1346.1,1336.95
2011-07-25,1337.43,1344.32,1344.32,1331.09
2011-07-26,1331.94,1337.39,1338.51,1329.59
2011-07-27,1304.89,1331.91,1331.91,1303.49
2011-07-28,1300.67,1304.84,1316.32,1299.16
2011-07-29,1292.28,1300.12,1304.16,1282.86
2011-08-01,1286.94,1292.59,1307.38,1274.73
2011-08-02,1254.05,1286.56,1286.56,1254.03
2011-08-03,1260.34,1254.25,1261.2,1234.56
2011-08-04,1200.07,1260.23,1260.23,1199.54
2011-08-05,1199.38,1200.28,1218.11,1168.09
2011-08-08,1119.46,1198.48,1198.48,1119.28
2011-08-09,1172.53,1120.23,1172.88,1101.54
2011-08-10,1120.76,1171.77,1171.77,1118.01
2011-08-11,1172.64,1121.3,1186.29,1121.3
2011-08-12,1178.81,1172.87,1189.04,1170.74
2011-08-15,1204.49,1178.86,1204.49,1178.86
2011-08-16,1192.76,1204.22,1204.22,1180.53
2011-08-17,1193.89,1192.89,1208.47,1184.36
2011-08-18,1140.65,1189.62,1189.62,1131.03
2011-08-19,1123.53,1140.47,1154.54,1122.05
2011-08-22,1123.82,1123.55,1145.49,1121.09
2011-08-23,1162.35,1124.36,1162.35,1122.91
2011-08-24,1177.6,1162.16,1178.56,1156.3
2011-08-25,1159.27,1176.69,1190.68,1155.47
2011-08-26,1176.8,1158.85,1181.23,1135.91
2011-08-29,1210.08,1177.91,1210.28,1177.91
2011-08-30,1212.92,1209.76,1220.1,1195.77
2011-08-31,1218.89,1213,1230.71,1209.35
2011-09-01,1204.42,1219.12,1229.29,1203.85
2011-09-02,1173.97,1203.9,1203.9,1170.56
2011-09-06,1165.24,1173.97,1173.97,1140.13
2011-09-07,1198.62,1165.85,1198.62,1165.85
2011-09-08,1185.9,1197.98,1204.4,1183.34
2011-09-09,1154.23,1185.37,1185.37,1148.37
2011-09-12,1162.27,1153.5,1162.52,1136.07
2011-09-13,1172.87,1162.59,1176.41,1157.44
2011-09-14,1188.68,1173.32,1202.38,1162.73
2011-09-15,1209.11,1189.44,1209.11,1189.44
2011-09-16,1216.01,1209.21,1220.06,1204.46
2011-09-19,1204.09,1214.99,1214.99,1188.36
2011-09-20,1202.09,1204.5,1220.39,1201.29
2011-09-21,1166.76,1203.63,1206.3,1166.21
2011-09-22,1129.56,1164.55,1164.55,1114.22
2011-09-23,1136.43,1128.82,1141.72,1121.36
2011-09-26,1162.95,1136.91,1164.19,1131.07
2011-09-27,1175.38,1163.32,1195.86,1163.32
2011-09-28,1151.06,1175.39,1184.71,1150.4
2011-09-29,1160.4,1151.74,1175.87,1139.93
2011-09-30,1131.42,1159.93,1159.93,1131.34
